URL,Item name,Last crawled
https://macbrownflyfish.com/bryson-city-fly-fishing-report-hatch-chart/,USGS National Water Information System — Nantahala River (Site 03505550),2026-06-10
https://macbrownflyfish.com/bryson-city-fly-fishing-report-hatch-chart/,"USGS National Water Information System — Tuckasegee River at Bryson City 
(Site 03513000)",2026-06-10
