Date,Affected pages
2026-03-02,240
2026-03-03,240
2026-03-04,240
2026-03-05,240
2026-03-06,240
2026-03-07,238
2026-03-08,238
2026-03-09,238
2026-03-10,238
2026-03-11,238
2026-03-12,238
2026-03-13,238
2026-03-14,238
2026-03-15,239
2026-03-16,239
2026-03-17,247
2026-03-18,247
2026-03-19,247
2026-03-20,247
2026-03-21,248
2026-03-22,248
2026-03-23,248
2026-03-24,799
2026-03-25,799
2026-03-26,799
2026-03-27,799
2026-03-28,839
2026-03-29,839
2026-03-30,839
2026-03-31,866
2026-04-01,866
2026-04-02,866
2026-04-03,866
2026-04-04,888
2026-04-05,888
2026-04-06,904
2026-04-07,904
2026-04-08,904
2026-04-09,904
2026-04-10,906
2026-04-11,906
2026-04-12,906
2026-04-13,911
2026-04-14,911
2026-04-15,911
2026-04-16,911
2026-04-17,913
2026-04-18,913
2026-04-19,913
2026-04-20,911
2026-04-21,911
2026-04-22,911
2026-04-23,911
2026-04-24,911
2026-04-25,911
2026-04-26,911
2026-04-27,899
2026-04-28,899
2026-04-29,899
2026-04-30,899
2026-05-01,900
2026-05-02,900
2026-05-03,900
2026-05-04,896
2026-05-05,896
2026-05-06,896
2026-05-07,896
2026-05-08,895
2026-05-09,895
2026-05-10,895
2026-05-11,893
2026-05-12,893
2026-05-13,893
2026-05-14,893
2026-05-15,904
2026-05-16,904
2026-05-17,904
2026-05-18,996
2026-05-19,996
2026-05-20,996
2026-05-21,996
