Date,Affected pages
2026-03-02,303
2026-03-03,302
2026-03-04,302
2026-03-05,302
2026-03-06,302
2026-03-07,301
2026-03-08,301
2026-03-09,301
2026-03-10,296
2026-03-11,296
2026-03-12,296
2026-03-13,296
2026-03-14,296
2026-03-15,289
2026-03-16,289
2026-03-17,280
2026-03-18,280
2026-03-19,280
2026-03-20,280
2026-03-21,275
2026-03-22,275
2026-03-23,275
2026-03-24,268
2026-03-25,268
2026-03-26,268
2026-03-27,268
2026-03-28,261
2026-03-29,261
2026-03-30,261
2026-03-31,254
2026-04-01,254
2026-04-02,254
2026-04-03,254
2026-04-04,240
2026-04-05,240
2026-04-06,219
2026-04-07,219
2026-04-08,219
2026-04-09,219
2026-04-10,203
2026-04-11,203
2026-04-12,203
2026-04-13,175
2026-04-14,175
2026-04-15,175
2026-04-16,175
2026-04-17,167
2026-04-18,167
2026-04-19,167
2026-04-20,113
2026-04-21,113
2026-04-22,113
2026-04-23,113
2026-04-24,96
2026-04-25,96
2026-04-26,96
2026-04-27,72
2026-04-28,72
2026-04-29,72
2026-04-30,72
2026-05-01,58
2026-05-02,58
2026-05-03,58
2026-05-04,40
2026-05-05,40
2026-05-06,40
2026-05-07,40
2026-05-08,33
2026-05-09,33
2026-05-10,33
2026-05-11,14
2026-05-12,14
2026-05-13,14
2026-05-14,14
2026-05-15,13
2026-05-16,13
2026-05-17,13
2026-05-18,16
2026-05-19,16
2026-05-20,16
2026-05-21,16
2026-05-22,26
2026-05-23,26
2026-05-24,26
