Date,Not indexed,Indexed,Impressions
2026-03-10,,,109
2026-03-11,,,112
2026-03-12,,,83
2026-03-13,,,109
2026-03-14,217,46,105
2026-03-15,217,46,134
2026-03-16,217,46,167
2026-03-17,215,46,149
2026-03-18,215,46,153
2026-03-19,215,46,139
2026-03-20,215,46,136
2026-03-21,214,46,171
2026-03-22,214,46,157
2026-03-23,214,46,116
2026-03-24,213,46,115
2026-03-25,213,46,152
2026-03-26,213,46,119
2026-03-27,213,46,171
2026-03-28,211,46,158
2026-03-29,211,46,186
2026-03-30,211,46,181
2026-03-31,209,46,139
2026-04-01,209,46,124
2026-04-02,209,46,161
2026-04-03,209,46,163
2026-04-04,208,46,170
2026-04-05,208,46,207
2026-04-06,207,44,183
2026-04-07,207,44,181
2026-04-08,207,44,253
2026-04-09,207,44,152
2026-04-10,210,43,213
2026-04-11,210,43,201
2026-04-12,210,43,183
2026-04-13,208,42,163
2026-04-14,208,42,212
2026-04-15,208,42,184
2026-04-16,208,42,176
2026-04-17,206,43,194
2026-04-18,206,43,234
2026-04-19,206,43,185
2026-04-20,204,44,180
2026-04-21,204,44,192
2026-04-22,204,44,160
2026-04-23,204,44,131
2026-04-24,206,42,145
2026-04-25,206,42,169
2026-04-26,206,42,207
2026-04-27,207,41,136
2026-04-28,207,41,184
2026-04-29,207,41,207
2026-04-30,207,41,186
2026-05-01,202,43,165
2026-05-02,202,43,155
2026-05-03,202,43,217
2026-05-04,201,43,263
2026-05-05,201,43,195
2026-05-06,201,43,174
2026-05-07,201,43,173
2026-05-08,94,43,244
2026-05-09,94,43,172
2026-05-10,94,43,207
2026-05-11,53,44,183
2026-05-12,53,44,226
2026-05-13,53,44,226
2026-05-14,53,44,118
2026-05-15,51,44,153
2026-05-16,51,44,169
2026-05-17,51,44,145
2026-05-18,50,44,213
2026-05-19,50,44,161
2026-05-20,50,44,176
2026-05-21,50,44,192
2026-05-22,89,44,198
2026-05-23,89,44,245
2026-05-24,89,44,203
2026-05-25,89,49,206
2026-05-26,89,49,172
2026-05-27,89,49,202
2026-05-28,89,49,203
2026-05-29,86,48,200
2026-05-30,86,48,298
2026-05-31,86,48,252
