Date,Affected pages
2026-04-09,5
2026-04-10,5
2026-04-11,5
2026-04-12,5
2026-04-13,5
2026-04-14,5
2026-04-15,5
2026-04-16,5
2026-04-17,5
2026-04-18,5
2026-04-19,5
2026-04-20,5
2026-04-21,5
2026-04-22,5
2026-04-23,5
2026-04-24,5
2026-04-25,5
2026-04-26,5
2026-04-27,5
2026-04-28,5
2026-04-29,5
2026-04-30,5
2026-05-01,5
2026-05-02,5
2026-05-03,5
2026-05-04,5
2026-05-05,5
2026-05-06,5
2026-05-07,5
2026-05-08,5
2026-05-09,5
2026-05-10,5
2026-05-11,5
2026-05-12,5
2026-05-13,5
2026-05-14,5
2026-05-15,5
2026-05-16,5
2026-05-17,5
2026-05-18,9
2026-05-19,9
2026-05-20,9
2026-05-21,9
2026-05-22,15
2026-05-23,15
2026-05-24,15
2026-05-25,27
2026-05-26,27
2026-05-27,27
2026-05-28,27
2026-05-29,39
2026-05-30,39
2026-05-31,39
2026-06-01,35
2026-06-02,35
2026-06-03,35
2026-06-04,35
2026-06-05,36
2026-06-06,36
2026-06-07,36
2026-06-08,38
2026-06-09,38
2026-06-10,38
2026-06-11,38
2026-06-12,49
2026-06-13,49
2026-06-14,49
2026-06-15,49
2026-06-16,49
2026-06-17,49
2026-06-18,49
2026-06-19,49
2026-06-20,49
2026-06-21,49
2026-06-22,49
2026-06-23,49
2026-06-24,49
2026-06-25,49
2026-06-26,49
2026-06-27,49
2026-06-28,49
2026-06-29,49
