Search Appearance,Clicks,Impressions,CTR,Position
AMP non-rich results,675,23589,2.86%,8.36
AMP article,34,721,4.72%,1.02
Translated results,1,185,0.54%,7.63
Product snippets,0,119,0%,11.72
