Date,Affected pages
2026-03-02,45
2026-03-03,43
2026-03-04,43
2026-03-05,43
2026-03-06,43
2026-03-07,43
2026-03-08,43
2026-03-09,43
2026-03-10,46
2026-03-11,46
2026-03-12,46
2026-03-13,46
2026-03-14,46
2026-03-15,46
2026-03-16,46
2026-03-17,46
2026-03-18,46
2026-03-19,46
2026-03-20,46
2026-03-21,46
2026-03-22,46
2026-03-23,46
2026-03-24,46
2026-03-25,46
2026-03-26,46
2026-03-27,46
2026-03-28,46
2026-03-29,46
2026-03-30,46
2026-03-31,46
2026-04-01,46
2026-04-02,46
2026-04-03,46
2026-04-04,46
2026-04-05,46
2026-04-06,44
2026-04-07,44
2026-04-08,44
2026-04-09,44
2026-04-10,43
2026-04-11,43
2026-04-12,43
2026-04-13,42
2026-04-14,42
2026-04-15,42
2026-04-16,42
2026-04-17,43
2026-04-18,43
2026-04-19,43
2026-04-20,44
2026-04-21,44
2026-04-22,44
2026-04-23,44
2026-04-24,42
2026-04-25,42
2026-04-26,42
2026-04-27,41
2026-04-28,41
2026-04-29,41
2026-04-30,41
2026-05-01,43
2026-05-02,43
2026-05-03,43
2026-05-04,43
2026-05-05,43
2026-05-06,43
2026-05-07,43
2026-05-08,43
2026-05-09,43
2026-05-10,43
2026-05-11,44
2026-05-12,44
2026-05-13,44
2026-05-14,44
2026-05-15,44
2026-05-16,44
2026-05-17,44
2026-05-18,44
2026-05-19,44
2026-05-20,44
2026-05-21,44
