Date,Affected pages
2026-03-14,146
2026-03-15,146
2026-03-16,146
2026-03-17,146
2026-03-18,146
2026-03-19,146
2026-03-20,146
2026-03-21,146
2026-03-22,146
2026-03-23,146
2026-03-24,146
2026-03-25,146
2026-03-26,146
2026-03-27,146
2026-03-28,147
2026-03-29,147
2026-03-30,147
2026-03-31,147
2026-04-01,147
2026-04-02,147
2026-04-03,147
2026-04-04,147
2026-04-05,147
2026-04-06,146
2026-04-07,146
2026-04-08,146
2026-04-09,146
2026-04-10,146
2026-04-11,146
2026-04-12,146
2026-04-13,146
2026-04-14,146
2026-04-15,146
2026-04-16,146
2026-04-17,146
2026-04-18,146
2026-04-19,146
2026-04-20,147
2026-04-21,147
2026-04-22,147
2026-04-23,147
2026-04-24,147
2026-04-25,147
2026-04-26,147
2026-04-27,146
2026-04-28,146
2026-04-29,146
2026-04-30,146
2026-05-01,146
2026-05-02,146
2026-05-03,146
2026-05-04,146
2026-05-05,146
2026-05-06,146
2026-05-07,146
2026-05-08,40
2026-05-09,40
2026-05-10,40
2026-05-11,0
2026-05-12,0
2026-05-13,0
2026-05-14,0
2026-05-15,0
2026-05-16,0
2026-05-17,0
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,0
2026-05-22,35
2026-05-23,35
2026-05-24,35
2026-05-25,32
2026-05-26,32
2026-05-27,32
2026-05-28,32
2026-05-29,25
2026-05-30,25
2026-05-31,25
2026-06-01,21
2026-06-02,21
2026-06-03,21
2026-06-04,21
