Date,Affected pages
2026-04-19,0
2026-04-20,0
2026-04-21,0
2026-04-22,0
2026-04-23,0
2026-04-24,0
2026-04-25,0
2026-04-26,0
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,0
2026-05-05,0
2026-05-06,0
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,0
2026-05-13,0
2026-05-14,0
2026-05-15,0
2026-05-16,0
2026-05-17,0
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,0
2026-05-22,1
2026-05-23,1
2026-05-24,1
2026-05-25,1
2026-05-26,1
2026-05-27,1
2026-05-28,1
2026-05-29,1
2026-05-30,1
2026-05-31,1
2026-06-01,3
2026-06-02,3
2026-06-03,3
2026-06-04,3
2026-06-05,3
2026-06-06,3
2026-06-07,3
2026-06-08,4
2026-06-09,4
2026-06-10,4
2026-06-11,4
2026-06-12,8
2026-06-13,8
2026-06-14,8
2026-06-15,8
2026-06-16,8
2026-06-17,8
2026-06-18,8
2026-06-19,8
2026-06-20,8
2026-06-21,8
2026-06-22,8
2026-06-23,8
2026-06-24,8
2026-06-25,8
2026-06-26,8
2026-06-27,8
2026-06-28,8
2026-06-29,8
2026-06-30,9
2026-07-01,9
2026-07-02,9
2026-07-03,9
2026-07-04,9
2026-07-05,9
2026-07-06,9
2026-07-07,9
2026-07-08,9
2026-07-09,9
